SUPPLIER,PART NAME,PART NUMBER,COST PER UNIT,QUANTITY,NET COST,,,
Digikey,ATtiny85,ATTINY85-20PU-ND,1.08,350,378,,,
Digikey,Photocell,PDV-P8103-ND,0.42,350,147,,,
Digikey,51kOhm Resistor,CF14JT51K0CT-ND,0.01624,350,5.684,,,
Digikey,Orange Led,754-1896-ND,0.07752,350,27.132,,,
Digikey,Blue LED,732-5011-ND,0.3226,350,112.91,,,
Digikey,9.1Ohm Resistor,P9.1BACT-ND,0.02016,350,7.056,,,
Digikey,40.2Ohm Resistor,PPC40.2YCT-ND,0.06112,350,21.392,,,
Sparkfun,Coin Cell Battery,PRT-00338,1.56,350,546,,,
Sparkfun,Coin Cell Holder,PRT-11892,0.76,350,266,,,
Sparkfun,SPDT Switch,COM-09609,0.6,350,210,,,
Amazon,Pin Clasp (Tie Tack),Example ,0.42,350,145.83,,,
,,,,,,,,
,,,,,,,Sum,1867.007333
,,,,,,,,
